Airline,Arriving From,Flight,Scheduled,Estimated,Remarks,Terminal,Gate,Bag Claim,Details
American Airlines,Chicago/O'Hare,345,8:49 AM,8:49 AM,On Time,2,,,View
Alaska Airlines,Seattle,762,8:45 AM,8:45 AM,On Time,2,,,View
American Airlines,Dallas-Fort Worth,152,8:43 AM,8:43 AM,On Time,2,,,View
Alaska Airlines,Austin,1219,8:40 AM,8:40 AM,On Time,2,,,View
Alaska Airlines,Austin,1219,8:40 AM,8:40 AM,On Time,2,,,View
Alaska Airlines,Austin,1219,8:40 AM,8:40 AM,On Time,2,,,View
Alaska Airlines,Orange County,2028,8:35 AM,8:35 AM,On Time,2,,,View
Alaska Airlines,Salt Lake City,3449,8:30 AM,8:30 AM,On Time,2,,,View
Alaska Airlines,Salt Lake City,3449,8:30 AM,8:30 AM,On Time,2,,,View
Alaska Airlines,Salt Lake City,3449,8:30 AM,8:30 AM,On Time,2,,,View
Alaska Airlines,Las Vegas,1897,8:25 AM,8:25 AM,On Time,2,,,View
Alaska Airlines,Las Vegas,1897,8:25 AM,8:25 AM,On Time,2,,,View
Alaska Airlines,Las Vegas,1897,8:25 AM,8:25 AM,On Time,2,,,View
Alaska Airlines,Los Angeles,1925,8:00 AM,7:53 AM,,2,55,,View
American Airlines,Los Angeles,1322,7:59 AM,7:59 AM,On Time,2,,,View
Alaska Airlines,San Diego,1951,7:55 AM,7:45 AM,,2,51A,,View
Alaska Airlines,Dallas/Love Field,3497,7:50 AM,7:50 AM,On Time,2,50A,,View
Alaska Airlines,Palm Springs,3327,7:40 AM,7:40 AM,On Time,2,59B,,View
American Airlines,New York/JFK,177,12:51 AM,2:21 AM,,2,59A,,View
American Airlines,Miami,2421,12:32 AM,2:20 AM,,2,56B,,View
American Airlines,Dallas-Fort Worth,446,12:13 AM,1:39 AM,,2,56A,,View
Alaska Airlines,Honolulu/Oahu,710,12:10 AM,12:05 AM,,2,51A,,View
Alaska Airlines,Los Angeles,989,11:55 PM,11:55 PM,On Time,2,52,,View
Alaska Airlines,Seattle,1330,11:44 PM,11:32 PM,,2,53,,View
American Airlines,Chicago/O'Hare,1253,11:08 PM,12:34 AM,,2,58B,,View
American Airlines,Los Angeles,2517,11:02 PM,12:36 AM,,2,56B,,View
Alaska Airlines,New Orleans,1391,10:55 PM,11:29 PM,,2,54B,,View
American Airlines,Charlotte,1783,10:42 PM,1:25 AM,,2,57,,View
Alaska Airlines,Portland,1812,10:40 PM,10:35 PM,,2,54A,,View
Alaska Airlines,Nashville,1101,10:30 PM,10:13 PM,,2,54B,,View
American Airlines,Dallas-Fort Worth,1535,10:29 PM,11:50 PM,,2,58A,,View
Alaska Airlines,Palm Springs,3395,10:10 PM,12:10 AM,,2,59B,,View
American Airlines,Phoenix,597,10:10 PM,11:24 PM,,2,56A,,View
Alaska Airlines,Kona/Hawaii,870,10:05 PM,9:44 PM,,2,55,,View
Alaska Airlines,Baltimore,327,10:00 PM,9:52 PM,,2,51A,,View
Alaska Airlines,Los Angeles,1947,9:55 PM,9:30 PM,,2,52,,View
American Airlines,Los Angeles,6012,9:52 PM,10:09 PM,,2,45B,,View
Alaska Airlines,Washington/Dulles,1077,9:52 PM,9:35 PM,,2,51B,,View
American Airlines,Miami,2688,9:34 PM,1:12 AM,,2,59A,,View
Alaska Airlines,Seattle,1748,9:30 PM,10:26 PM,,2,50A,,View
American Airlines,New York/JFK,2652,9:22 PM,12:39 AM,,2,56A,,View
Alaska Airlines,Kahului,814,9:15 PM,9:02 PM,,2,53,,View
Alaska Airlines,Boston,1359,8:55 PM,8:44 PM,,2,55,,View
Alaska Airlines,Newark,375,8:55 PM,8:38 PM,,2,50B,,View
American Airlines,Dallas-Fort Worth,1430,8:51 PM,12:33 AM,,2,45A,,View
American Airlines,Charlotte,1659,8:47 PM,8:47 PM,Cancelled,2,45A,,View
Alaska Airlines,New York/JFK,657,8:40 PM,7:56 PM,,2,54A,,View
Alaska Airlines,Chicago/O'Hare,1213,8:35 PM,8:56 PM,,2,54B,,View
Alaska Airlines,Washington/Reagan,1002,8:25 PM,8:21 PM,,2,51B,,View
American Airlines,New York/JFK,2305,8:02 PM,10:41 PM,,2,58A,,View
Alaska Airlines,Los Angeles,1943,7:55 PM,7:26 PM,,2,53,,View
Alaska Airlines,San Diego,1963,7:45 PM,7:24 PM,,2,59A,,View
American Airlines,Philadelphia,680,7:40 PM,7:40 PM,Cancelled,2,56A,,View
Alaska Airlines,Seattle,1756,7:40 PM,7:59 PM,,2,52,,View
American Airlines,Chicago/O'Hare,2798,7:39 PM,9:20 PM,,2,58A,,View
Alaska Airlines,Orlando,1305,7:20 PM,7:11 PM,,2,50B,,View
American Airlines,Phoenix,686,7:13 PM,7:04 PM,,2,56A,,View
American Airlines,Chicago/O'Hare,2639,7:09 PM,7:05 PM,,2,58A,,View
American Airlines,Los Angeles,1319,6:59 PM,9:54 PM,,2,45A,,View
American Airlines,Dallas-Fort Worth,1175,6:33 PM,10:35 PM,,2,58B,,View
Alaska Airlines,Portland,3418,6:25 PM,6:57 PM,,2,51A,,View
American Airlines,Charlotte,2061,5:35 PM,8:01 PM,,2,57,,View
Alaska Airlines,Portland,1814,5:25 PM,6:56 PM,,2,55,,View