Airline,Arriving From,Flight,Scheduled,Estimated,Remarks,Terminal,Gate,Details
Copa Airlines,Panama City,382,上午12:08,下午11:32,,Int'l,A4,
Alaska Airlines,Honolulu/Oahu,710,上午12:10,上午12:08,,2,55,
United,Boston,1163,上午12:10,上午02:30,,3,83,
United,Chicago/O'Hare,493,上午12:11,下午11:40,,3,73,
United,Los Angeles,398,上午12:15,下午11:48,,3,65,
Avianca,San Salvador,560,上午12:15,上午12:15,,Int'l,A zone,
Southwest,PAR,8526,上午12:30,上午12:30,,Int'l,,
American Airlines,Miami,2421,上午12:32,上午12:03,,2,HGR,
United,Honolulu/Oahu,2826,上午12:44,上午01:10,,3,80,
Delta Air Lines,New York/JFK,2670,上午12:48,上午12:11,,1,40,
American Airlines,New York/JFK,177,上午12:51,上午12:30,,2,57,
United,Newark,210,上午01:03,上午01:51,,3,67,
JetBlue,Boston,333,上午01:12,上午01:06,,1,B6,
JetBlue,New York/JFK,1715,上午01:21,上午12:26,,1,B7,
United,Honolulu/Oahu,396,上午04:53,上午04:57,,3,86,
United,Kahului,1557,上午05:18,上午05:03,,3,88,
United,Kona/Hawaii,1092,上午05:35,上午05:36,,3,89,
United,Tel Aviv,955,上午06:00,上午05:17,,Int'l,G94,
United,Taipei,872,上午06:20,上午06:09,,Int'l,G95,
United,Monterey,5316,上午06:22,上午06:22,On Time,3,78,
EVA AIR,Taipei,8,上午06:30,上午06:41,,Int'l,G101,
Southwest,Los Angeles,1085,上午06:35,上午06:35,On Time,1,B9,
United,Reno,1445,上午06:39,上午06:39,On Time,3,68,
United,Santa Barbara,5982,上午06:47,上午06:47,On Time,3,76,
United,Seoul,806,上午06:50,上午06:07,,Int'l,G98,
United,Santa Rosa,5738,上午06:50,上午06:50,On Time,3,84C,
United,Kahului,1580,上午06:52,上午07:03,,3,67,
United,Boise,5745,上午06:54,上午06:54,On Time,3,79,
Air India,Bengaluru,173,上午07:00,上午06:38,,Int'l,G97,
United,Fresno,5287,上午07:02,上午07:02,On Time,3,77A,
United,Sydney,870,上午07:05,上午07:32,,Int'l,G96,
United,Sacramento,5562,上午07:06,上午07:06,On Time,3,71A,
United,San Luis Obispo,5667,上午07:06,上午07:06,On Time,3,77B,
United,Redding,5549,上午07:08,上午07:08,On Time,3,84D,
United,Honolulu/Oahu,1575,上午07:10,上午07:17,,3,66,
United,Palm Springs,5617,上午07:10,上午07:10,On Time,3,84B,
United,Salt Lake City,5976,上午07:15,上午07:15,On Time,3,71B,
United,Bakersfield,5219,上午07:16,上午07:16,On Time,3,70,
Alaska Airlines,Portland,426,上午07:20,上午07:15,,2,54A,
United,Medford,2068,上午07:21,上午07:10,,3,73,
United,Ontario,295,上午07:25,上午07:25,On Time,3,61,
United,Eureka,5362,上午07:26,上午07:26,On Time,3,87A,
United,Denver,256,上午07:38,上午07:31,,3,88,
United,Phoenix,2356,上午07:40,上午07:26,,3,85,
Alaska Airlines,Palm Springs,3327,上午07:40,上午07:40,On Time,2,50A,
United,Redmond,5464,上午07:41,上午07:41,On Time,3,77A,
United,Las Vegas,728,上午07:44,上午07:44,On Time,3,67,
United,Chengdu,8,上午07:45,上午07:26,,Int'l,G100,
United,Santa Barbara,5601,上午07:47,上午07:47,On Time,3,79,
United,Dallas-Fort Worth,1129,上午07:49,上午07:40,,3,74,
United,Austin,2123,上午07:49,上午07:40,,3,89,
United,Indianapolis,500,上午07:50,上午07:32,,3,83,
Alaska Airlines,Dallas/Love Field,3497,上午07:50,上午07:50,On Time,2,59C,
Alaska Airlines,San Diego,1951,上午07:55,上午07:44,,2,51B,
United,San Antonio,5309,上午07:55,上午07:55,On Time,3,73A,
American Airlines,Los Angeles,1322,上午07:59,上午07:59,On Time,2,56B,
United,San Diego,2235,上午07:59,上午07:59,On Time,3,68,
United,Los Angeles,471,上午08:00,上午08:00,On Time,3,62,
Southwest,San Diego,1573,上午08:00,上午08:00,On Time,1,B9,
Alaska Airlines,Los Angeles,1925,上午08:00,上午07:52,,2,59A,
United,Omaha,5215,上午08:00,上午08:00,On Time,3,77B,
United,Pasco,5372,上午08:01,上午08:01,On Time,3,78,
United,Kansas City,5341,上午08:02,上午08:02,On Time,3,76,
United,Seattle,368,上午08:09,上午08:09,On Time,3,64,
United,PAE,5893,上午08:10,上午08:10,On Time,3,77A,
United,Fayetteville,5550,上午08:11,上午08:11,On Time,3,71B,
United,Atlanta,1900,上午08:13,上午08:03,,3,82,
JetBlue,Long Beach,1136,上午08:15,上午08:15,On Time,1,B6,
United,Cincinnati,357,上午08:17,上午07:52,,3,75,
United,Burbank,5803,上午08:19,上午08:19,On Time,3,77B,
United,Portland,1664,上午08:20,上午08:20,On Time,3,72,
United,PPT,114,上午08:25,上午07:51,,Int'l,G99,
Alaska Airlines,Las Vegas,1897,上午08:25,上午08:25,On Time,2,54A,
Delta Air Lines,Los Angeles,2313,上午08:25,上午08:25,On Time,1,41,
United,Shanghai,858,上午08:30,上午08:16,,Int'l,G102,
United,Columbus,1585,上午08:30,上午08:23,,3,90,
United,Orange County,1818,上午08:30,上午08:30,On Time,3,65,
Alaska Airlines,Salt Lake City,3449,上午08:30,上午08:30,On Time,2,53,
United,Vancouver,618,上午08:31,上午08:31,On Time,3,69,
Southwest,Los Angeles,1896,上午08:35,上午08:35,On Time,1,B12,
Alaska Airlines,Orange County,2028,上午08:35,上午11:22,,2,50B,
Air Canada,Vancouver,560,上午08:36,上午08:36,On Time,Int'l,G93,
United,Chicago/O'Hare,2166,上午08:39,上午08:32,,3,83,
Alaska Airlines,Austin,1219,上午08:40,上午08:41,,2,54A,
United,Spokane,5319,上午08:40,上午08:40,On Time,3,84D,
American Airlines,Dallas-Fort Worth,152,上午08:43,上午08:43,On Time,2,57,
Alaska Airlines,Seattle,762,上午08:45,上午08:29,,2,51A,
United,Raleigh/Durham,1698,上午08:45,上午08:32,,3,70,
United,Tucson,5945,上午08:45,上午11:27,,3,84B,
United,Orlando,759,上午08:46,上午08:39,,3,66,
United,Washington/Dulles,1881,上午08:49,上午08:49,On Time,3,81,
United,Singapore,2,上午08:50,上午08:57,,Int'l,G100,
Delta Air Lines,Cincinnati,2905,上午08:54,上午08:40,,1,40,
United,Mexico City,820,上午08:55,上午08:44,,Int'l,G94,
United,Hong Kong,862,上午08:55,上午08:57,,Int'l,G101,
Southwest,Burbank,1338,上午08:55,上午08:55,On Time,1,B14,
United,New Orleans,590,上午08:57,上午08:57,On Time,3,74,
United,Las Vegas,2301,上午08:57,上午08:57,On Time,3,73A,
United,Baltimore,1111,上午08:58,上午08:39,,3,73,
United,Philadelphia,731,上午09:05,上午08:53,,3,89,
United,Fort Lauderdale,922,上午09:10,上午09:03,,3,68,
Alaska Airlines,Seattle,2958,上午09:10,上午09:10,On Time,2,52,
United,Newark,1483,上午09:11,上午09:04,,3,85,
United,Tokyo/Haneda,876,上午09:15,上午08:47,,Int'l,G95,
United,Palm Springs,5997,上午09:18,上午09:18,On Time,3,78,
Alaska Airlines,Raleigh/Durham,709,上午09:20,上午09:20,On Time,2,51B,
Delta Air Lines,Minneapolis,1938,上午09:26,上午09:26,On Time,1,43,
Delta Air Lines,Seattle,2490,上午09:27,上午09:27,On Time,1,42,
China Eastern,Shanghai,589,上午09:30,上午08:52,,Int'l,A zone,
Alaska Airlines,Portland,1372,上午09:30,上午09:30,On Time,2,55,
Delta Air Lines,Salt Lake City,1390,上午09:32,上午09:32,On Time,1,48,
United,Dallas-Fort Worth,2093,上午09:32,上午09:23,,3,62,
United,Fresno,5723,上午09:32,上午09:32,On Time,3,84D,
United,Toronto,565,上午09:34,上午09:29,,3,88,
United,Denver,2362,上午09:34,上午09:34,On Time,3,63,
Air Canada,Calgary,8579,上午09:34,上午09:34,On Time,Int'l,G102,
United,Boston,433,上午09:35,上午09:28,,3,80,
Interjet,Guadalajara,820,上午09:35,上午09:35,On Time,Int'l,A7,
United,Orange County,209,上午09:37,上午09:37,On Time,3,67,
United,Los Angeles,440,上午09:37,上午09:37,On Time,3,65,
American Airlines,Los Angeles,1059,上午09:37,上午09:37,On Time,2,56A,
United,Boise,5358,上午09:39,上午09:39,On Time,3,71A,
Singapore Airlines,Singapore,32,上午09:40,上午09:21,,Int'l,G99,
Alaska Airlines,Kansas City,3375,上午09:50,上午09:50,On Time,2,59C,
United,Oklahoma City,5427,上午09:52,上午09:52,On Time,3,77A,
United,Houston/Intercontinental,404,上午09:55,上午09:55,On Time,3,61,
Southwest,San Diego,1346,上午09:55,上午09:55,On Time,1,B9,
Alaska Airlines,Las Vegas,1905,上午09:55,上午09:44,,2,53,
Southwest,Ontario,1934,上午09:55,上午09:55,On Time,1,B17,
United,Tucson,5856,上午09:55,上午09:55,On Time,3,77B,
Air Canada,Toronto,737,上午09:59,上午09:59,On Time,Int'l,G93,
American Airlines,Phoenix,1821,上午09:59,上午09:59,On Time,2,45A,
Alaska Airlines,Seattle,405,上午10:00,上午09:43,,2,54B,
Delta Air Lines,Los Angeles,664,上午10:00,上午10:00,On Time,1,46,
Alaska Airlines,Los Angeles,1935,上午10:05,上午09:57,,2,59A,
JetBlue,New York/JFK,15,上午10:07,上午10:07,On Time,1,B6,
United,Newark,1848,上午10:11,上午10:04,,3,86,
Delta Air Lines,Atlanta,2049,上午10:12,上午10:12,On Time,1,41,
American Airlines,Charlotte,785,上午10:14,上午10:14,On Time,2,56B,
Alaska Airlines,Chicago/O'Hare,203,上午10:15,上午10:15,On Time,2,52,
Delta Air Lines,New York/JFK,757,上午10:20,上午10:01,,1,40,
United,Tokyo/Narita,838,上午10:20,上午09:52,,Int'l,G95,
American Airlines,New York/JFK,76,上午10:23,上午10:23,On Time,2,57,
Delta Air Lines,Detroit,745,上午10:24,上午10:24,On Time,1,42,
Alaska Airlines,Newark,363,上午10:25,上午10:25,On Time,2,52,
JetBlue,Boston,133,上午10:26,上午10:26,On Time,1,B7,
All Nippon Airways,Tokyo/Narita,8,上午10:30,上午10:30,On Time,Int'l,G94,
United,Reno,5899,上午10:36,上午10:36,On Time,3,84C,
United,Chicago/O'Hare,1825,上午10:38,上午10:38,On Time,3,81,
Korean Air,Seoul,23,上午10:40,上午10:15,,Int'l,A3,
Hong Kong Airlines,Hong Kong,60,上午10:40,上午10:40,On Time,Int'l,A9,
Alaska Airlines,San Diego,1953,上午10:40,上午10:40,On Time,2,51A,
Alaska Airlines,PAE,2828,上午10:45,上午10:45,On Time,2,51B,
Frontier Airlines,Denver,663,上午10:52,上午10:52,On Time,Int'l,A10,
United,Osaka/Kansai,34,上午10:55,上午10:12,,Int'l,G102,
AeroMexico,Guadalajara,662,上午11:00,上午11:00,On Time,Int'l,A6,
Alaska Airlines,Los Angeles,1927,上午11:00,上午10:57,,2,55,
Southwest,Los Angeles,3342,上午11:00,上午11:00,On Time,1,B12,
United,San Diego,662,上午11:01,上午11:01,On Time,3,68,
Alaska Airlines,New York/JFK,653,上午11:05,上午11:00,,2,54A,
Alaska Airlines,Washington/Dulles,1067,上午11:05,上午11:05,On Time,2,50A,
Southwest,Atlanta,1819,上午11:05,上午11:05,On Time,1,B13,
United,Washington/Dulles,424,上午11:06,上午11:06,On Time,3,82,
American Airlines,Dallas-Fort Worth,1260,上午11:06,上午11:37,,1,45B,
United,Fresno,5876,上午11:08,上午11:08,On Time,3,77B,
Alaska Airlines,Orange County,3413,上午11:10,上午11:10,On Time,2,53,
Air Canada,Vancouver,8840,上午11:12,上午11:12,On Time,Int'l,G91,
Southwest,Phoenix,1771,上午11:15,上午11:15,On Time,1,B14,
Delta Air Lines,Boston,2488,上午11:16,上午11:27,,1,46,
United,San Luis Obispo,5966,上午11:17,上午11:17,On Time,3,84D,
United,Newark,497,上午11:19,上午11:19,On Time,3,80,
Alaska Airlines,Philadelphia,1141,上午11:20,上午11:20,On Time,2,54B,
United,Sacramento,5697,上午11:23,上午11:23,On Time,3,76,
United,Washington/Dulles,1763,上午11:24,上午11:24,On Time,3,G97,
Delta Air Lines,New York/JFK,592,上午11:29,上午11:29,On Time,1,43,
United,Seoul,892,上午11:30,上午11:04,,Int'l,G96,
United,Denver,268,上午11:31,上午11:31,On Time,3,89,
Delta Air Lines,Seattle,2429,上午11:34,上午11:34,On Time,1,48,
Cathay Pacific,Hong Kong,870,上午11:35,上午11:42,,Int'l,A zone,
Southwest,Chicago/Midway,2315,上午11:35,上午11:35,On Time,1,B17,
United,Santa Barbara,5446,上午11:35,上午11:35,On Time,3,84C,
American Airlines,Philadelphia,614,上午11:36,上午11:36,On Time,2,56A,
United,Burbank,783,上午11:36,上午11:36,On Time,3,63,
JetBlue,Fort Lauderdale,577,上午11:37,上午11:37,On Time,1,B6,
United,Redding,5452,上午11:40,上午11:40,On Time,3,78,
Delta Air Lines,Minneapolis,1344,上午11:44,上午11:44,On Time,1,41,
United,Portland,353,上午11:45,上午11:45,On Time,3,65,
KLM Royal Dutch Airlines,Amsterdam,605,上午11:45,上午11:45,On Time,Int'l,A4,
United,Paris/De Gaulle,984,上午11:45,上午11:13,,Int'l,G100,
United,Chicago/O'Hare,769,上午11:46,上午11:46,On Time,3,88,
Delta Air Lines,Atlanta,1680,上午11:49,上午11:49,On Time,1,40,
United,Nashville,2167,上午11:51,上午11:51,On Time,3,72,
Alaska Airlines,Boston,1351,上午11:55,上午11:55,On Time,2,50B,
Alaska Airlines,Las Vegas,1907,上午11:55,上午11:44,,2,52,
American Airlines,Miami,383,上午11:56,上午11:56,On Time,2,57,
Delta Air Lines,Los Angeles,1405,下午12:01,下午12:01,On Time,1,42,
AeroMexico,Mexico City,668,下午12:05,下午12:05,On Time,Int'l,53,
Alaska Airlines,Seattle,1746,下午12:05,上午11:45,,2,51A,
Frontier Airlines,Atlanta,807,下午12:09,下午12:09,On Time,Int'l,A10,
Alaska Airlines,Portland,430,下午12:10,下午12:00,,2,59A,
United,Medford,5279,下午12:13,下午12:13,On Time,3,79,
United,Los Angeles,2186,下午12:14,下午12:14,On Time,3,61,
Southwest,Las Vegas,1749,下午12:15,下午12:15,On Time,1,B12,
United,Seattle,698,下午12:17,下午12:17,On Time,3,90,
United,Salt Lake City,1495,下午12:17,下午12:17,On Time,3,75,
United,Ontario,5416,下午12:17,下午12:17,On Time,3,84D,
Air Canada,Montreal,761,下午12:18,下午12:18,On Time,Int'l,G91,
Air China,Beijing,985,下午12:20,上午11:45,,Int'l,G zone,
United,San Diego,1806,下午12:21,下午12:21,On Time,3,74,
WestJet,Calgary,1508,下午12:24,下午12:24,On Time,Int'l,,
United,Boise,5543,下午12:25,下午12:25,On Time,3,77B,
American Airlines,Phoenix,1844,下午12:26,下午12:26,On Time,2,56B,
United,Redmond,5537,下午12:26,下午12:26,On Time,3,84B,
United,Orange County,1616,下午12:29,下午12:29,On Time,3,62,
United,Cleveland,2143,下午12:37,下午12:37,On Time,3,86,
Delta Air Lines,Salt Lake City,522,下午12:40,下午12:40,On Time,1,46,
Air Canada,Toronto,741,下午12:40,下午12:40,On Time,Int'l,G93,
Air France,Paris/De Gaulle,84,下午12:45,下午12:45,On Time,Int'l,A7,
Southwest,Burbank,1335,下午12:45,下午12:45,On Time,1,B13,
United,Chicago/O'Hare,1891,下午12:48,下午12:48,On Time,3,69,
JetBlue,New York/JFK,415,下午12:49,下午12:49,On Time,1,B7,
Lufthansa,Frankfurt,454,下午12:50,下午12:50,On Time,Int'l,G101,
Alaska Airlines,New York/JFK,627,下午12:50,下午12:45,,2,51B,
Southwest,San Diego,1776,下午12:50,下午12:50,On Time,1,B17,
Southwest,Columbus,487,下午12:55,下午12:55,On Time,1,B18,
Alaska Airlines,Orange County,2050,下午12:55,下午12:37,,2,53,
United,San Luis Obispo,5657,下午12:55,下午12:55,On Time,3,84C,
Air New Zealand,Auckland,8,下午01:00,下午01:15,,Int'l,A zone,
United,Beijing,889,下午01:00,下午12:39,,Int'l,G92,
American Airlines,Chicago/O'Hare,2634,下午01:00,下午01:00,On Time,2,45A,
Alaska Airlines,Palm Springs,3461,下午01:00,下午01:00,On Time,2,50A,
United,Boston,2294,下午01:03,下午01:03,On Time,3,88,
United,Denver,243,下午01:05,下午01:05,On Time,3,63,
Alaska Airlines,Los Angeles,1899,下午01:05,下午01:05,On Time,2,55,
Delta Air Lines,New York/JFK,490,下午01:06,下午01:06,On Time,1,40,
JetBlue,Boston,1833,下午01:07,下午01:07,On Time,1,B8,
United,Eugene,5838,下午01:09,下午01:09,On Time,3,84D,
United,Albuquerque,5379,下午01:12,下午01:12,On Time,3,76,
Delta Air Lines,Atlanta,2381,下午01:14,下午01:14,On Time,1,46,
Southwest,Charlotte,455,下午01:15,下午01:15,On Time,1,B14,
United,Phoenix,1609,下午01:15,下午01:15,On Time,3,61,
United,Las Vegas,1647,下午01:24,下午01:24,On Time,3,81,
Delta Air Lines,Seattle,1470,下午01:28,下午01:28,On Time,1,48,
Japan Airlines,Tokyo/Haneda,2,下午01:30,下午01:30,On Time,Int'l,A8,
Alaska Airlines,San Diego,1957,下午01:30,下午01:30,On Time,2,51B,
Frontier Airlines,Las Vegas,2079,下午01:36,下午01:24,,Int'l,A10,
United,London/Heathrow,900,下午01:40,下午12:50,,Int'l,G98,
Alaska Airlines,Las Vegas,1909,下午01:40,下午01:26,,2,59A,
United,Portland,2348,下午01:40,下午01:28,,3,72,
United,Ontario,5228,下午01:40,下午01:22,,3,77A,
United,Reno,5332,下午01:42,下午01:30,,3,84C,
United,Austin,391,下午01:44,下午01:22,,3,73,
United,Los Angeles,447,下午01:44,下午01:26,,3,68,
United,Seattle,2236,下午01:46,下午01:10,,3,66,
American Airlines,Los Angeles,1851,下午01:48,下午02:13,,1,45B,
Southwest,Las Vegas,442,下午01:50,下午01:33,,1,B9,
Alaska Airlines,Seattle,1750,下午01:55,下午02:03,,2,51A,
Delta Air Lines,Minneapolis,1817,下午01:56,下午01:37,,1,41,
American Airlines,Charlotte,884,下午01:57,下午02:19,,2,56B,
United,Eureka,5284,下午01:58,下午02:59,,3,84C,
Qantas,Sydney,73,下午02:00,下午02:00,On Time,Int'l,A6,
Emirates,Dubai,225,下午02:00,下午02:03,,Int'l,A5,
United,Newark,840,下午02:10,下午02:04,,3,87,
United,Chicago/O'Hare,499,下午02:11,下午02:58,,3,74,
Delta Air Lines,Detroit,1357,下午02:12,下午02:09,,1,42,
Virgin Atlantic,London/Heathrow,19,下午02:15,下午03:20,,Int'l,A10,
American Airlines,Dallas-Fort Worth,139,下午02:18,下午02:06,,2,57,
United,PAE,5739,下午02:23,下午02:16,,3,79,
British Airways,London/Heathrow,285,下午02:25,下午02:25,Cancelled,Int'l,,
JetBlue,Long Beach,2136,下午02:29,下午06:20,,1,B7,
United,Munich,195,下午02:30,下午02:42,,Int'l,G95,
JetBlue,New York/JFK,615,下午02:31,下午02:08,,1,B6,
United,Vancouver,595,下午02:32,下午02:52,,3,62,
KLM Royal Dutch Airlines,Amsterdam,607,下午02:35,下午02:35,On Time,Int'l,A zone,
Alaska Airlines,Portland,1892,下午02:35,下午02:07,,2,52,
Alaska Airlines,Orange County,2790,下午02:35,下午04:38,,2,50B,
United,Tucson,5527,下午02:37,下午02:25,,3,76,
United,Salt Lake City,5800,下午02:37,下午02:14,,3,71B,
Korean Air,Seoul,25,下午02:40,下午02:07,,Int'l,A11,
Delta Air Lines,Los Angeles,1327,下午02:40,下午02:42,,1,46,
Southwest,San Diego,1914,下午02:40,下午02:45,,1,B18,
United,Phoenix,5902,下午02:41,下午02:33,,3,84D,
United,MSO,5721,下午02:43,下午02:51,,3,84B,
United,Boston,477,下午02:44,下午02:33,,3,85,
Scandinavian Airlines,Copenhagen,935,下午02:45,下午02:32,,Int'l,G102,
Delta Air Lines,New York/JFK,430,下午02:49,下午02:37,,1,43,
United,Eugene,997,下午02:49,下午02:26,,3,61,
United,Houston/Intercontinental,2187,下午02:49,下午03:13,,3,75,
Alaska Airlines,New York/JFK,629,下午02:50,下午02:42,,2,51B,
Southwest,Ontario,441,下午02:55,下午02:55,On Time,1,B13,
