Airline,Departing To,Flight,Scheduled,Estimated,Remarks,Terminal,Gate,,Details
Alaska Airlines,Austin,1218,8:50 AM,8:50 AM,On Time,2,,,View
Alaska Airlines,Austin,1218,8:50 AM,8:50 AM,On Time,2,,,View
Alaska Airlines,Austin,1218,8:50 AM,8:50 AM,On Time,2,,,View
Alaska Airlines,New York/JFK,1022,8:50 AM,8:50 AM,On Time,2,,,View
Alaska Airlines,Portland,3417,8:40 AM,8:40 AM,On Time,2,,,View
Alaska Airlines,San Diego,1966,8:30 AM,8:30 AM,On Time,2,,,View
Alaska Airlines,San Diego,1966,8:30 AM,8:30 AM,On Time,2,,,View
Alaska Airlines,San Diego,1966,8:30 AM,8:30 AM,On Time,2,,,View
Alaska Airlines,Dallas/Love Field,3404,8:20 AM,8:20 AM,On Time,2,,,View
American Airlines,New York/JFK,164,8:19 AM,8:19 AM,On Time,2,,,View
American Airlines,Dallas-Fort Worth,390,8:00 AM,8:00 AM,On Time,2,,,View
Alaska Airlines,Seattle,1745,8:00 AM,8:00 AM,On Time,2,54A,,View
Alaska Airlines,Washington/Reagan,1001,8:00 AM,8:00 AM,On Time,2,,,View
American Airlines,Los Angeles,6034,7:55 AM,7:55 AM,On Time,2,45B,,View
Alaska Airlines,Newark,340,7:50 AM,7:50 AM,On Time,2,52,,View
American Airlines,Chicago/O'Hare,2614,7:49 AM,7:49 AM,On Time,2,57,,View
Alaska Airlines,Las Vegas,1902,7:35 AM,7:35 AM,On Time,2,51B,,View
Alaska Airlines,Boston,1352,7:20 AM,7:20 AM,On Time,2,58B,,View
American Airlines,Philadelphia,700,7:14 AM,7:14 AM,On Time,2,,,View
American Airlines,Miami,343,7:10 AM,7:10 AM,On Time,2,56A,,View
American Airlines,Charlotte,1960,7:08 AM,7:08 AM,On Time,2,45A,,View
Alaska Airlines,Kahului,821,7:00 AM,7:00 AM,On Time,2,51A,,View
Alaska Airlines,Los Angeles,1922,7:00 AM,7:00 AM,On Time,2,55,,View
Alaska Airlines,Orange County,3370,7:00 AM,7:00 AM,On Time,2,59B,,View
Alaska Airlines,Orlando,1302,7:00 AM,7:00 AM,On Time,2,50A,,View
Alaska Airlines,Seattle,303,7:00 AM,7:00 AM,On Time,2,50B,,View
American Airlines,New York/JFK,234,6:54 AM,6:54 AM,On Time,2,59A,,View
Alaska Airlines,Seattle,1741,6:10 AM,6:10 AM,On Time,2,53,,View
Alaska Airlines,San Diego,1970,6:05 AM,6:05 AM,On Time,2,51B,,View
American Airlines,Dallas-Fort Worth,1198,6:00 AM,6:00 AM,On Time,2,58B,,View
Alaska Airlines,Los Angeles,994,6:00 AM,6:00 AM,On Time,2,52,,View
Alaska Airlines,Portland,1321,6:00 AM,6:00 AM,On Time,2,54A,,View
American Airlines,Phoenix,2042,5:38 AM,5:38 AM,On Time,2,58A,,View
Alaska Airlines,Seattle,939,5:30 AM,5:30 AM,On Time,2,55,,View
American Airlines,Charlotte,776,5:29 AM,5:29 AM,On Time,2,57,,View
American Airlines,Los Angeles,2528,5:00 AM,5:00 AM,On Time,2,56B,,View
American Airlines,Dallas-Fort Worth,1004,12:35 AM,1:13 AM,,2,56B,,View
American Airlines,Chicago/O'Hare,1253,11:58 PM,11:58 PM,On Time,2,57,,View
American Airlines,New York/JFK,276,11:16 PM,1:02 AM,,2,56A,,View
Alaska Airlines,New York/JFK,254,11:15 PM,11:15 PM,On Time,2,51A,,View
American Airlines,Philadelphia,1103,11:05 PM,11:05 PM,Cancelled,2,56A,,View
American Airlines,Miami,1713,11:01 PM,11:01 PM,On Time,2,56A,,View
Alaska Airlines,Philadelphia,1138,10:35 PM,10:35 PM,On Time,2,52,,View
Alaska Airlines,Boston,1358,10:25 PM,10:25 PM,On Time,2,59A,,View
American Airlines,Charlotte,1659,10:13 PM,10:13 PM,Cancelled,2,45A,,View
Alaska Airlines,Newark,592,9:45 PM,9:45 PM,On Time,2,54A,,View
Alaska Airlines,Raleigh/Durham,734,9:15 PM,9:15 PM,On Time,2,51A,,View
Alaska Airlines,Los Angeles,1940,9:00 PM,9:00 PM,,2,51B,,View
Alaska Airlines,Seattle,1325,8:15 PM,8:15 PM,,2,50B,,View
Alaska Airlines,Los Angeles,1938,8:00 PM,8:00 PM,,2,54B,,View
American Airlines,Charlotte,707,7:51 PM,10:30 PM,,2,45A,,View
American Airlines,Los Angeles,707,7:51 PM,10:30 PM,,2,45A,,View
Alaska Airlines,Orange County,2161,7:15 PM,7:15 PM,On Time,2,50B,,View
Alaska Airlines,Palm Springs,3398,7:05 PM,7:28 PM,,2,51A,,View
Alaska Airlines,Seattle,1759,7:05 PM,7:05 PM,,2,54A,,View
Alaska Airlines,Portland,1809,6:20 PM,7:49 PM,,2,55,,View
American Airlines,Dallas-Fort Worth,2683,6:00 PM,7:45 PM,,2,57,,View